1518841875:200,1518841875:612
1518841885:364,1518841885:776
1518841895:528,1518841895:940
1518841905:692,1518841906:104
1518841915:855,1518841916:267
1518841926:18,1518841926:430
1518841936:181,1518841936:593
1518841946:344,1518841946:757
1518841956:507,1518841956:920
1518841966:671,1518841967:84
1518841976:834,1518841977:247
1518841986:997,1518841987:410
1518841997:160,1518841997:573
1518842007:323,1518842007:736
1518842017:486,1518842017:899
1518842027:650,1518842028:63
1518842037:813,1518842038:226
1518842047:976,1518842048:389
1518842058:139,1518842058:552
1518842068:302,1518842068:716
1518842078:465,1518842078:879
1518842088:629,1518842089:43
1518842098:793,1518842099:207
1518842108:956,1518842109:370
1518842119:120,1518842119:534
1518842129:283,1518842129:697
1518842139:446,1518842139:860
1518842149:610,1518842150:24
1518842159:773,1518842160:187
1518842169:936,1518842170:350
1518842180:99,1518842180:514
1518842190:262,1518842190:677
1518842200:425,1518842200:840
1518842210:589,1518842211:4
1518842220:752,1518842221:167
1518842230:914,1518842231:330
1518842241:78,1518842241:494
1518842251:241,1518842251:656
1518842261:404,1518842261:820
1518842271:568,1518842271:983
1518842281:731,1518842282:146
1518842291:894,1518842292:310
1518842302:57,1518842302:473
1518842312:222,1518842312:638
1518842322:385,1518842322:801
1518842332:548,1518842332:964
1518842342:711,1518842343:127
1518842352:874,1518842353:290
1518842363:37,1518842363:454
1518842373:200,1518842373:616
1518842383:363,1518842383:779
1518842393:526,1518842393:943
1518842403:689,1518842404:106
1518842413:852,1518842414:269
1518842424:16,1518842424:432
1518842434:179,1518842434:596
1518842444:342,1518842444:759
1518842454:505,1518842454:923
1518842464:668,1518842465:86
1518842474:831,1518842475:249
1518842484:995,1518842485:412
1518842495:158,1518842495:575
1518842505:324,1518842505:741
1518842515:487,1518842515:905
1518842525:650,1518842526:68
1518842535:813,1518842536:231
1518842545:977,1518842546:395
1518842556:140,1518842556:558
1518842566:303,1518842566:721
1518842576:469,1518842576:887
1518842586:632,1518842587:50
1518842596:795,1518842597:214
1518842606:958,1518842607:377
1518842617:121,1518842617:540
1518842627:283,1518842627:702
1518842637:446,1518842637:865
1518842647:609,1518842648:28
1518842657:772,1518842658:191
1518842667:936,1518842668:355
1518842678:99,1518842678:518
1518842688:261,1518842688:680
1518842698:425,1518842698:844
1518842708:588,1518842709:7
1518842718:751,1518842719:170
1518842728:914,1518842729:334
1518842739:77,1518842739:497
1518842749:240,1518842749:660
1518842759:404,1518842759:824
1518842769:567,1518842769:987
1518842779:730,1518842780:150
1518842789:894,1518842790:314
1518842800:56,1518842800:477
1518842810:219,1518842810:640
1518842820:383,1518842820:804
1518842830:546,1518842830:966
1518842840:709,1518842841:130
1518842850:872,1518842851:293
1518842861:37,1518842861:458
1518842871:200,1518842871:622
1518842881:364,1518842881:785
1518842891:527,1518842891:949
1518842901:691,1518842902:112
1518842911:855,1518842912:276
1518842922:18,1518842922:439
1518842932:180,1518842932:602
1518842942:344,1518842942:765
1518842952:506,1518842952:928
1518842962:670,1518842963:92
1518842972:833,1518842973:255
1518842982:996,1518842983:418
1518842993:160,1518842993:582
1518843003:324,1518843003:746
1518843013:486,1518843013:909
1518843023:649,1518843024:72
1518843033:813,1518843034:235
1518843043:976,1518843044:398
1518843054:139,1518843054:561
1518843064:303,1518843064:725
1518843074:466,1518843074:888
1518843084:629,1518843085:52
1518843094:793,1518843095:216
1518843104:956,1518843105:380
1518843115:119,1518843115:543
1518843125:283,1518843125:707
1518843135:447,1518843135:870
1518843145:610,1518843146:33
1518843155:774,1518843156:198
1518843165:937,1518843166:361
1518843176:100,1518843176:524
