1518841875:450,1518841875:200
1518841885:615,1518841885:364
1518841895:779,1518841895:528
1518841905:943,1518841905:692
1518841916:106,1518841915:855
1518841926:269,1518841926:18
1518841936:433,1518841936:181
1518841946:596,1518841946:344
1518841956:759,1518841956:507
1518841966:923,1518841966:671
1518841977:86,1518841976:834
1518841987:249,1518841986:997
1518841997:413,1518841997:160
1518842007:576,1518842007:323
1518842017:738,1518842017:486
1518842027:902,1518842027:650
1518842038:65,1518842037:813
1518842048:228,1518842047:976
1518842058:392,1518842058:139
1518842068:555,1518842068:302
1518842078:718,1518842078:465
1518842088:882,1518842088:629
1518842099:46,1518842098:793
1518842109:209,1518842108:956
1518842119:373,1518842119:120
1518842129:536,1518842129:283
1518842139:699,1518842139:446
1518842149:863,1518842149:610
1518842160:26,1518842159:773
1518842170:189,1518842169:936
1518842180:353,1518842180:99
1518842190:516,1518842190:262
1518842200:679,1518842200:425
1518842210:843,1518842210:589
1518842221:6,1518842220:752
1518842231:169,1518842230:914
1518842241:333,1518842241:78
1518842251:496,1518842251:241
1518842261:659,1518842261:404
1518842271:823,1518842271:568
1518842281:986,1518842281:731
1518842292:149,1518842291:894
1518842302:312,1518842302:57
1518842312:475,1518842312:222
1518842322:640,1518842322:385
1518842332:803,1518842332:548
1518842342:966,1518842342:711
1518842353:129,1518842352:874
1518842363:293,1518842363:37
1518842373:456,1518842373:200
1518842383:619,1518842383:363
1518842393:782,1518842393:526
1518842403:945,1518842403:689
1518842414:108,1518842413:852
1518842424:272,1518842424:16
1518842434:435,1518842434:179
1518842444:598,1518842444:342
1518842454:762,1518842454:505
1518842464:925,1518842464:668
1518842475:88,1518842474:831
1518842485:252,1518842484:995
1518842495:415,1518842495:158
1518842505:578,1518842505:324
1518842515:744,1518842515:487
1518842525:907,1518842525:650
1518842536:70,1518842535:813
1518842546:234,1518842545:977
1518842556:397,1518842556:140
1518842566:560,1518842566:303
1518842576:727,1518842576:469
1518842586:890,1518842586:632
1518842597:53,1518842596:795
1518842607:216,1518842606:958
1518842617:379,1518842617:121
1518842627:541,1518842627:283
1518842637:704,1518842637:446
1518842647:867,1518842647:609
1518842658:30,1518842657:772
1518842668:194,1518842667:936
1518842678:357,1518842678:99
1518842688:520,1518842688:261
