1519150895:884,1519150899:117
1519150906:44,1519150909:277
1519150916:204,1519150919:437
1519150926:364,1519150929:597
1519150936:523,1519150939:757
1519150946:683,1519150949:917
1519150956:843,1519150960:78
1519150967:4,1519150970:237
1519150977:164,1519150980:397
1519150987:323,1519150990:557
1519150997:483,1519151000:717
1519151007:643,1519151010:877
1519151017:803,1519151021:37
1519151027:962,1519151031:197
1519151038:123,1519151041:357
1519151048:283,1519151051:529
1519151058:454,1519151061:689
1519151068:614,1519151071:849
1519151078:774,1519151082:9
1519151088:934,1519151092:168
1519151099:93,1519151102:328
1519151109:253,1519151112:488
1519151119:413,1519151122:648
1519151129:573,1519151132:808
1519151139:733,1519151142:968
1519151149:892,1519151153:128
1519151160:52,1519151163:288
1519151170:212,1519151173:448
1519151180:372,1519151183:607
1519151190:532,1519151193:767
1519151200:692,1519151203:927
1519151210:852,1519151214:87
1519151221:11,1519151224:247
1519151231:171,1519151234:407
1519151241:331,1519151244:570
1519151251:494,1519151254:730
1519151261:654,1519151264:890
1519151271:814,1519151275:50
1519151281:974,1519151285:210
1519151292:134,1519151295:370
1519151302:293,1519151305:530
1519151312:453,1519151315:690
1519151322:613,1519151325:850
1519151332:773,1519151336:11
1519151342:934,1519151346:170
1519151353:93,1519151356:330
1519151363:253,1519151366:490
1519151373:412,1519151376:649
1519151383:572,1519151386:809
1519151393:732,1519151396:969
1519151403:891,1519151407:129
1519151414:51,1519151417:288
1519151424:210,1519151427:448
1519151434:370,1519151437:608
1519151444:530,1519151447:767
1519151454:689,1519151457:927
1519151464:849,1519151468:87
1519151475:9,1519151478:247
1519151485:168,1519151488:409
1519151495:331,1519151498:569
1519151505:491,1519151508:729
1519151515:650,1519151518:889
1519151525:810,1519151529:49
1519151535:970,1519151539:209
1519151546:131,1519151549:369
1519151556:290,1519151559:529
1519151566:450,1519151569:689
1519151576:610,1519151579:849
1519151586:770,1519151590:9
1519151596:930,1519151600:170
1519151607:90,1519151610:329
1519151617:253,1519151620:493
1519151627:413,1519151630:653
1519151637:573,1519151640:813
1519151647:733,1519151650:977
1519151657:899,1519151661:138
1519151668:59,1519151671:299
1519151678:219,1519151681:459
1519151688:380,1519151691:620
1519151698:540,1519151701:780
1519151708:700,1519151711:944
1519151718:864,1519151722:118
1519151729:37,1519151732:279
1519151739:198,1519151742:439
1519151749:359,1519151752:599
1519151759:521,1519151762:761
1519151769:680,1519151772:921
1519151779:840,1519151783:83
1519151790:2,1519151793:243
1519151800:162,1519151803:402
1519151810:322,1519151813:563
1519151820:482,1519151823:723
1519151830:642,1519151833:883
1519151840:802,1519151844:43
1519151850:962,1519151854:203
1519151861:121,1519151864:366
1519151871:284,1519151874:527
1519151881:446,1519151884:688
1519151891:606,1519151894:848
1519151901:765,1519151905:7
1519151911:925,1519151915:167
1519151922:85,1519151925:327
1519151932:244,1519151935:487
1519151942:404,1519151945:646
1519151952:564,1519151955:806
1519151962:724,1519151965:966
1519151972:884,1519151976:126
1519151983:43,1519151986:285
1519151993:203,1519151996:446
1519152003:363,1519152006:606
1519152013:523,1519152016:766
1519152023:683,1519152026:925
1519152033:842,1519152037:85
1519152044:20,1519152047:263
1519152054:197,1519152057:441
1519152064:375,1519152067:618
1519152074:553,1519152077:796
1519152084:730,1519152087:974
1519152094:908,1519152098:152
1519152105:86,1519152108:330
1519152115:264,1519152118:507
1519152125:441,1519152128:685
1519152135:619,1519152138:863
1519152145:796,1519152149:40
1519152155:974,1519152159:219
1519152166:152,1519152169:396
1519152176:329,1519152179:574
1519152186:507,1519152189:751
1519152196:684,1519152199:929
1519152206:862,1519152210:107
1519152217:40,1519152220:285
1519152227:218,1519152230:463
1519152237:395,1519152240:640
1519152247:573,1519152250:819
1519152257:751,1519152260:997
1519152267:930,1519152271:175
1519152278:107,1519152281:352
1519152288:285,1519152291:531
1519152298:463,1519152301:708
1519152308:641,1519152311:886
1519152318:818,1519152322:63
1519152328:996,1519152332:241
1519152339:173,1519152342:419
1519152349:351,1519152352:597
1519152359:511,1519152362:756
1519152369:671,1519152372:917
1519152379:831,1519152383:77
1519152389:991,1519152393:237
1519152400:151,1519152403:397
1519152410:310,1519152413:557
1519152420:470,1519152423:719
1519152430:633,1519152433:879
1519152440:792,1519152444:39
1519152450:952,1519152454:199
1519152461:112,1519152464:359
1519152471:272,1519152474:519
1519152481:432,1519152484:679
1519152491:592,1519152494:840
1519152501:753,1519152505:0
1519152511:912,1519152515:160
1519152522:72,1519152525:319
1519152532:232,1519152535:479
1519152542:392,1519152545:640
1519152552:552,1519152555:799
1519152562:712,1519152565:959
1519152572:871,1519152576:119
1519152583:31,1519152586:279
1519152593:191,1519152596:438
1519152603:350,1519152606:599
1519152613:511,1519152616:759
1519152623:670,1519152626:919
1519152633:830,1519152637:78
1519152643:990,1519152647:238
1519152654:149,1519152657:397
1519152664:309,1519152667:557
1519152674:468,1519152677:717
1519152684:628,1519152687:877
1519152694:788,1519152698:36
1519152704:947,1519152708:199
1519152715:110,1519152718:359
1519152725:270,1519152728:519
1519152735:431,1519152738:680
1519152745:590,1519152748:840
1519152755:750,1519152758:999
1519152765:909,1519152769:159
1519152776:69,1519152779:319
1519152786:229,1519152789:478
1519152796:388,1519152799:638
1519152806:548,1519152809:797
1519152816:707,1519152819:957
1519152826:867,1519152830:117
1519152837:27,1519152840:277
1519152847:187,1519152850:437
1519152857:346,1519152860:596
1519152867:506,1519152870:756
1519152877:665,1519152880:915
1519152887:825,1519152891:75
1519152897:984,1519152901:235
1519152908:144,1519152911:395
1519152918:303,1519152921:554
1519152928:463,1519152931:714
1519152938:624,1519152941:875
1519152948:784,1519152952:35
1519152958:943,1519152962:194
1519152969:103,1519152972:354
1519152979:263,1519152982:514
1519152989:422,1519152992:674
1519152999:582,1519153002:834
1519153009:742,1519153012:993
1519153019:902,1519153023:153
1519153030:61,1519153033:313
1519153040:221,1519153043:473
1519153050:381,1519153053:633
1519153060:541,1519153063:793
1519153070:701,1519153073:953
1519153080:861,1519153084:113
1519153091:21,1519153094:273
1519153101:180,1519153104:433
1519153111:340,1519153114:593
1519153121:500,1519153124:753
1519153131:660,1519153134:912
1519153141:819,1519153145:72
1519153151:979,1519153155:232
1519153162:139,1519153165:392
1519153172:299,1519153175:552
1519153182:459,1519153185:712
1519153192:618,1519153195:871
1519153202:778,1519153206:31
1519153212:938,1519153216:191
1519153223:97,1519153226:351
1519153233:257,1519153236:510
1519153243:417,1519153246:670
1519153253:576,1519153256:830
1519153263:736,1519153266:990
1519153273:896,1519153277:149
1519153284:55,1519153287:309
1519153294:215,1519153297:469
1519153304:375,1519153307:629
1519153314:534,1519153317:789
1519153324:694,1519153327:948
1519153334:854,1519153338:108
1519153345:13,1519153348:268
1519153355:173,1519153358:427
1519153365:333,1519153368:588
1519153375:493,1519153378:748
1519153385:652,1519153388:907
1519153395:812,1519153399:67
1519153405:972,1519153409:227
1519153416:131,1519153419:387
1519153426:291,1519153429:547
1519153436:451,1519153439:706
1519153446:611,1519153449:866
1519153456:770,1519153460:26
1519153466:930,1519153470:185
1519153477:89,1519153480:345
1519153487:249,1519153490:505
1519153497:408,1519153500:664
1519153507:568,1519153510:824
1519153517:728,1519153520:984
1519153527:888,1519153531:144
1519153538:47,1519153541:303
1519153548:207,1519153551:463
1519153558:367,1519153561:624
1519153568:527,1519153571:784
1519153578:687,1519153581:945
1519153588:848,1519153592:105
1519153599:8,1519153602:265
1519153609:167,1519153612:424
1519153619:327,1519153622:584
1519153629:487,1519153632:744
1519153639:647,1519153642:904
1519153649:806,1519153653:65
1519153659:968,1519153663:225
1519153670:127,1519153673:385
1519153680:287,1519153683:545
1519153690:447,1519153693:704
1519153700:606,1519153703:864
1519153710:766,1519153714:23
1519153720:926,1519153724:183
1519153731:85,1519153734:343
1519153741:245,1519153744:503
1519153751:405,1519153754:663
1519153761:565,1519153764:823
1519153771:724,1519153774:982
1519153781:884,1519153785:142
1519153792:44,1519153795:302
1519153802:203,1519153805:462
1519153812:363,1519153815:622
1519153822:523,1519153825:781
1519153832:683,1519153835:941
1519153842:843,1519153846:102
1519153853:3,1519153856:262
1519153863:163,1519153866:422
1519153873:322,1519153876:581
1519153883:482,1519153886:741
1519153893:642,1519153896:901
1519153903:801,1519153907:61
1519153913:961,1519153917:221
1519153924:121,1519153927:381
1519153934:281,1519153937:541
1519153944:441,1519153947:701
1519153954:601,1519153957:861
1519153964:761,1519153968:21
1519153974:921,1519153978:181
1519153985:80,1519153988:341
1519153995:241,1519153998:501
1519154005:400,1519154008:661
1519154015:560,1519154018:821
1519154025:720,1519154028:980
1519154035:880,1519154039:140
1519154046:39,1519154049:300
1519154056:199,1519154059:460
1519154066:359,1519154069:620
1519154076:519,1519154079:780
1519154086:679,1519154089:940
1519154096:838,1519154100:99
1519154106:998,1519154110:259
1519154117:158,1519154120:419
1519154127:318,1519154130:580
1519154137:478,1519154140:740
1519154147:638,1519154150:900
1519154157:798,1519154161:59
1519154167:957,1519154171:219
1519154178:117,1519154181:379
1519154188:277,1519154191:539
1519154198:437,1519154201:698
1519154208:596,1519154211:858
1519154218:756,1519154222:18
1519154228:916,1519154232:178
1519154239:76,1519154242:338
1519154249:235,1519154252:498
1519154259:395,1519154262:660
1519154269:557,1519154272:819
1519154279:717,1519154282:979
1519154289:876,1519154293:139
1519154300:36,1519154303:299
1519154310:196,1519154313:459
1519154320:356,1519154323:619
1519154330:515,1519154333:778
1519154340:675,1519154343:938
1519154350:835,1519154354:98
1519154360:994,1519154364:258
1519154371:154,1519154374:417
1519154381:314,1519154384:578
1519154391:474,1519154394:738
1519154401:634,1519154404:898
1519154411:794,1519154415:58
1519154421:954,1519154425:218
1519154432:114,1519154435:378
1519154442:274,1519154445:538
1519154452:434,1519154455:698
1519154462:594,1519154465:858
1519154472:753,1519154476:18
1519154482:913,1519154486:178
1519154493:73,1519154496:337
1519154503:233,1519154506:497
1519154513:392,1519154516:657
1519154523:552,1519154526:817
1519154533:712,1519154536:977
1519154543:872,1519154547:137
1519154554:32,1519154557:297
1519154564:192,1519154567:457
1519154574:352,1519154577:617
1519154584:512,1519154587:777
1519154594:672,1519154597:937
1519154604:831,1519154608:97
1519154614:991,1519154618:256
1519154625:150,1519154628:416
1519154635:310,1519154638:576
1519154645:470,1519154648:736
1519154655:629,1519154658:896
1519154665:789,1519154669:56
1519154675:949,1519154679:216
1519154686:109,1519154689:376
1519154696:269,1519154699:536
1519154706:429,1519154709:696
1519154716:590,1519154719:856
1519154726:750,1519154730:16
